city,clouds,country,date,high_temp,humidity,latitude,longitude,wind
raudeberg,100,NO,1586137098,53.01,43,61.99,5.14,24.16
zainsk,62,RU,1586137100,24.8,62,55.32,52.07,2.71
pangani,96,TZ,1586137101,78.24,84,-5.43,38.97,5.06
upernavik,100,GL,1586137102,13.55,81,72.79,-56.15,5.93
port hedland,97,AU,1586136892,84.2,70,-20.32,118.57,5.82
saint george,1,US,1586137105,69.8,22,37.1,-113.58,25.28
sao joao da barra,86,BR,1586137106,74.48,75,-21.64,-41.05,4.74
viedma,34,AR,1586137107,56.46,38,-40.81,-63.0,19.24
hailar,0,CN,1586137109,36.09,47,49.2,119.7,17.63
georgetown,20,MY,1586137110,80.6,88,5.41,100.34,5.82
egvekinot,100,RU,1586137111,4.87,84,66.32,-179.17,4.72
yeppoon,20,AU,1586137112,82.4,58,-23.13,150.73,8.05
fare,9,PF,1586136977,84.42,73,-16.7,-151.02,9.78
poum,100,NC,1586137117,80.2,76,-20.23,164.02,16.8
puerto del rosario,20,ES,1586137118,68.0,77,28.5,-13.86,3.36
kijang,32,KR,1586137120,53.6,25,35.24,129.21,6.93
esperantina,100,BR,1586137121,75.42,93,-3.9,-42.23,3.33
pozo colorado,60,PY,1586137122,84.81,53,-23.49,-58.8,7.54
grandola,75,PT,1586137123,57.99,93,38.18,-8.57,4.7
juneau,90,US,1586137125,42.8,48,58.3,-134.42,3.36
marathon,1,US,1586137126,48.2,42,44.9,-89.77,3.36
jieshou,95,CN,1586137127,63.1,52,33.26,115.36,6.55
moose factory,1,CA,1586137129,26.6,73,51.26,-80.61,3.36
klyuchi,0,RU,1586136945,47.75,68,52.27,79.17,9.55
les cayes,10,HT,1586137131,78.42,79,18.2,-73.75,4.32
esperance,90,AU,1586136961,60.8,77,-33.87,121.9,10.29
muisne,32,EC,1586137134,77.29,82,0.6,-80.03,5.46
metro,65,ID,1586137135,82.83,76,-5.11,105.31,9.37
wanlaweyn,24,SO,1586137136,78.85,76,2.62,44.89,7.16
barcelos,75,PT,1586136880,55.4,100,41.54,-8.62,1.99
borova,0,UA,1586137140,39.0,63,50.18,30.1,3.29
norman wells,40,CA,1586137141,28.4,54,65.28,-126.83,20.8
acapulco,20,MX,1586136958,80.6,78,16.86,-99.89,5.82
aksaray,0,TR,1586137144,47.84,52,38.37,34.03,4.76
jiaocheng,100,CN,1586137145,59.38,86,24.68,116.14,1.79
kutum,33,SD,1586137146,64.62,14,14.2,24.67,3.29
bethel,1,US,1586136940,53.01,81,41.37,-73.41,3.51
pitimbu,20,BR,1586137149,80.6,88,-7.47,-34.81,4.7
yerbogachen,50,RU,1586137151,33.78,81,61.28,108.01,9.42
lata,75,PT,1586137153,57.0,100,40.16,-8.33,2.24
ribeira grande,80,PT,1586137154,59.56,85,38.52,-28.7,11.36
sept-iles,90,CA,1586137155,34.0,93,50.2,-66.38,4.7
xining,100,CN,1586137156,46.42,21,36.62,101.77,4.18
broome,75,US,1586137158,50.0,75,42.25,-75.83,8.05
niamey,0,NE,1586137159,88.41,11,13.51,2.11,8.84
puquio,56,PE,1586137160,52.25,30,-14.7,-74.13,1.25
alofi,100,NU,1586137161,80.6,83,-19.06,-169.92,8.05
gemena,100,CD,1586137163,69.58,86,3.25,19.77,0.27
mocuba,7,MZ,1586137164,66.81,93,-16.84,36.99,3.09
havoysund,40,NO,1586136941,28.4,86,71.0,24.66,17.22
biarritz,100,FR,1586137166,62.6,59,43.48,-1.56,4.7
huarmey,26,PE,1586137168,74.55,71,-10.07,-78.15,5.97
njeru,73,UG,1586137169,65.43,65,0.42,33.17,2.91
tuktoyaktuk,75,CA,1586136945,26.6,79,69.45,-133.04,25.28
port moresby,20,PG,1586137171,86.0,66,-9.44,147.18,3.36
axim,6,GH,1586137173,81.3,82,4.87,-2.24,7.36
okato,100,NZ,1586137176,64.99,49,-39.2,173.88,7.0
havelock,1,US,1586137178,57.99,76,34.88,-76.9,5.82
kahului,40,US,1586137104,78.8,69,20.89,-156.47,6.93
talnakh,75,RU,1586137180,30.2,100,69.49,88.4,17.9
kiama,75,AU,1586137181,71.01,56,-34.68,150.87,10.29
boguchany,0,RU,1586137184,40.41,63,58.38,97.45,7.99
bosaso,0,SO,1586137048,80.47,68,11.28,49.18,6.98
torbay,75,CA,1586137187,28.99,85,47.67,-52.73,2.24
kavaratti,69,IN,1586137188,83.53,71,10.57,72.64,5.82
bubaque,0,GW,1586137189,78.62,71,11.28,-15.83,12.62
gladstone,75,AU,1586136967,82.4,48,-23.85,151.25,8.05
sakakah,52,SA,1586137192,75.2,22,29.97,40.21,5.82
jackson,90,US,1586136959,51.8,75,42.42,-122.83,19.46
ampanihy,73,MG,1586136998,72.23,61,-24.7,44.75,5.7
kouroussa,0,GN,1586137195,83.35,40,10.65,-9.88,4.76
derzhavinsk,71,KZ,1586137197,40.59,81,51.1,66.32,9.51
dalvik,90,IS,1586137198,32.0,84,65.97,-18.53,6.93
bouloupari,20,NC,1586137199,89.6,43,-21.87,166.05,11.41
beloha,72,MG,1586137200,73.51,59,-25.17,45.05,6.87
borogontsy,100,RU,1586137201,22.37,94,62.67,131.17,0.65
oranjemund,12,NA,1586137203,54.99,90,-28.55,16.43,1.61
meulaboh,99,ID,1586137204,81.57,78,4.14,96.13,6.31
carnarvon,0,AU,1586136938,77.0,78,-24.87,113.63,12.75
san patricio,40,MX,1586136940,82.4,65,19.22,-104.7,8.97
umm kaddadah,28,SD,1586137208,73.31,12,13.6,26.69,10.22
san-pedro,51,CI,1586137209,81.48,84,4.75,-6.64,7.94
ilulissat,0,GL,1586137210,12.2,36,69.22,-51.1,11.41
waipawa,92,NZ,1586137211,64.99,63,-41.41,175.52,12.75
asau,0,RO,1586137213,35.01,55,46.43,26.4,2.24
kota kinabalu,20,MY,1586137214,86.0,84,5.97,116.07,5.82
stykkisholmur,100,IS,1586137215,35.35,87,65.08,-22.73,17.98
tessalit,0,ML,1586137216,73.81,15,20.2,1.01,9.8
calbuco,0,CL,1586137218,44.6,87,-41.77,-73.13,2.24
kenitra,75,MA,1586137219,64.0,93,34.26,-6.58,4.7
nantucket,90,US,1586137220,44.6,87,41.28,-70.1,9.17
los llanos de aridane,22,ES,1586136961,66.2,77,28.66,-17.92,0.96
tautira,2,PF,1586137223,87.8,70,-17.73,-149.15,12.75
stornoway,99,GB,1586137224,51.01,93,58.21,-6.39,28.86
flinders,75,AU,1586136954,75.0,56,-34.58,150.86,10.29
olafsvik,100,IS,1586136988,36.75,91,64.89,-23.71,37.71
namibe,0,AO,1586137228,71.76,76,-15.2,12.15,9.75
merauke,74,ID,1586137229,88.29,59,-8.47,140.33,6.02
tongren,95,CN,1586137230,61.63,57,27.72,109.19,0.74
sambava,0,MG,1586137231,73.96,86,-14.27,50.17,7.85
naze,75,JP,1586136975,64.4,55,28.37,129.48,10.29
shache,100,CN,1586137234,62.49,17,38.42,77.24,4.16
marsh harbour,100,BS,1586137235,70.03,77,26.54,-77.06,19.44
guaraniacu,4,BR,1586137236,62.33,71,-25.1,-52.88,2.35
aksarka,100,RU,1586137238,26.02,98,66.56,67.8,8.25
hamilton,90,US,1586137239,54.0,76,39.18,-84.53,8.05
farafangana,92,MG,1586137240,70.05,84,-22.82,47.83,5.01
vanderhoof,25,CA,1586137243,22.82,88,54.02,-124.02,1.95
maku,100,IR,1586137244,48.25,33,39.29,44.45,4.63
sorong,9,ID,1586136988,85.28,73,-0.88,131.25,1.66
luziania,40,BR,1586137248,73.4,88,-16.25,-47.95,1.12
ierapetra,75,GR,1586137249,57.2,82,35.01,25.74,16.11
codrington,87,AU,1586137250,59.43,51,-38.27,141.97,4.99
bonavista,12,CA,1586136968,28.0,85,48.65,-53.11,1.01
nuevo progreso,68,MX,1586137253,75.99,73,23.17,-97.95,4.0
nikolskoye,88,RU,1586137254,28.4,86,59.7,30.79,1.59
anadyr,20,RU,1586137255,1.4,77,64.75,177.48,17.9
isiro,99,CD,1586137125,67.15,80,2.77,27.62,1.95
trento,0,IT,1586137258,55.0,65,46.07,11.12,5.01
stephenville,75,US,1586137259,62.6,87,32.22,-98.2,5.82
veraval,41,IN,1586137260,81.64,51,20.9,70.37,11.59
sindor,44,RU,1586137263,20.44,95,62.86,51.89,8.19
korla,0,CN,1586137265,61.84,20,41.76,86.15,5.35
emerald,0,AU,1586137266,81.0,30,-23.53,148.17,11.41
dimbokro,44,CI,1586137268,77.07,89,6.65,-4.7,3.94
kropotkin,1,RU,1586137269,37.67,71,45.44,40.58,9.17
maldonado,100,UY,1586137166,68.0,77,-34.67,-54.92,1.12
oksfjord,72,NO,1586137271,28.4,92,70.24,22.35,8.05
avera,1,US,1586137273,71.6,77,33.19,-82.53,4.7
luderitz,13,NA,1586137274,55.4,93,-26.65,15.16,4.7
mildura,40,AU,1586137275,64.0,59,-34.2,142.15,6.93
quatre cocos,40,MU,1586137276,77.0,83,-20.21,57.76,6.93
pointe michel,23,DM,1586137278,79.03,78,15.25,-61.38,8.97
douentza,0,ML,1586137279,78.17,15,15.0,-2.95,5.53
ponta do sol,40,PT,1586137280,64.4,82,32.67,-17.1,2.24
fort saint james,28,CA,1586137281,22.32,88,54.43,-124.25,2.13
itupiranga,20,BR,1586137283,80.6,100,-5.13,-49.33,4.7
plettenberg bay,86,ZA,1586137284,61.05,82,-34.05,23.37,13.4
visby,43,SE,1586137285,39.2,79,57.64,18.3,11.41
rossland,99,CA,1586137287,31.42,64,49.08,-117.8,0.31
council bluffs,75,US,1586137129,57.2,54,41.26,-95.86,14.99
harper,76,LR,1586137289,82.0,82,4.38,-7.72,7.31
las matas de farfan,35,DO,1586137290,73.38,69,18.87,-71.52,1.57
kozhva,10,RU,1586137293,19.06,96,65.11,57.05,6.87
nang rong,50,TH,1586137294,88.0,79,14.64,102.79,2.24
farim,0,GW,1586137295,72.93,49,12.48,-15.22,1.28
nouadhibou,0,MR,1586137297,68.0,77,20.93,-17.03,23.04
moron,75,AR,1586137236,71.6,93,-34.65,-58.62,3.36
ternate,10,ID,1586137300,85.21,66,0.8,127.4,5.28
moussoro,0,TD,1586137302,77.59,16,13.64,16.49,2.35
bemban,20,MY,1586137303,80.6,78,2.27,102.37,3.36
andros town,75,BS,1586137304,75.2,60,24.7,-77.77,8.05
port hardy,20,CA,1586137305,46.4,49,50.7,-127.42,13.87
sabha,42,LY,1586137307,61.12,27,27.04,14.43,14.76
bacungan,20,PH,1586137308,87.8,58,9.91,118.7,6.93
tiarei,6,PF,1586137310,87.8,70,-17.53,-149.33,12.75
shepetivka,0,UA,1586137312,35.15,71,50.19,27.06,3.67
mahebourg,40,MU,1586137313,77.0,83,-20.41,57.7,6.93
helmsdale,99,GB,1586137314,60.8,81,58.12,-3.65,23.04
faanui,18,PF,1586137316,83.75,72,-16.48,-151.75,9.51
progreso,40,MX,1586137317,82.4,65,21.28,-89.67,6.93
nelson bay,20,AU,1586137318,77.0,43,-32.72,152.15,9.17
prince rupert,1,CA,1586137319,42.8,56,54.32,-130.32,10.29
finote selam,75,ET,1586137321,62.64,31,10.7,37.27,2.33
leh,77,IN,1586137322,22.05,26,34.17,77.58,3.15
dwarka,0,IN,1586137323,78.03,79,22.24,68.97,6.73
westport,1,US,1586137227,54.0,93,41.14,-73.36,4.7
vanimo,98,PG,1586137327,83.5,78,-2.67,141.3,10.11
saint-francois,0,FR,1586137328,45.0,60,46.42,3.91,4.7
pangnirtung,18,CA,1586137329,6.44,70,66.15,-65.71,5.77
mamontovo,0,RU,1586137332,38.17,90,52.71,81.62,8.66
dikson,98,RU,1586137333,19.27,98,73.51,80.55,6.53
tefe,86,BR,1586137334,76.53,91,-3.35,-64.71,1.72
gambo,100,CF,1586137336,70.92,85,4.65,22.26,2.71
hay river,40,CA,1586137165,15.8,66,60.82,-115.8,8.05
kargasok,99,RU,1586137338,33.98,89,59.06,80.86,11.16
klaksvik,100,FO,1586137339,48.2,93,62.23,-6.59,20.8
ahipara,73,NZ,1586137341,65.91,65,-35.17,173.17,9.17
anito,30,PH,1586137342,84.58,51,12.45,125.29,5.46
neka,0,IR,1586137269,44.6,93,36.65,53.3,4.7
vostok,84,RU,1586137344,36.7,63,46.49,135.88,9.22
rio grande,92,BR,1586137346,69.3,84,-32.03,-52.1,14.85
kailua,40,US,1586137347,80.6,74,21.4,-157.74,10.29
kadhan,0,PK,1586137348,81.25,49,24.48,68.99,9.1
ewa beach,75,US,1586137282,80.6,65,21.32,-158.01,11.41
bhindar,0,IN,1586137351,85.82,14,24.5,74.18,5.06
pangody,100,RU,1586137352,32.27,97,65.85,74.49,5.41
lagoa,62,PT,1586137353,58.06,82,39.05,-27.98,10.36
murom,0,RU,1586137354,29.25,87,55.57,42.04,12.5
hambantota,20,LK,1586137356,75.2,100,6.12,81.12,1.12
isla del bosque,40,MX,1586137357,80.6,42,22.73,-105.85,6.93
xai-xai,0,MZ,1586137358,69.17,81,-25.05,33.64,7.11
novaya ladoga,100,RU,1586137359,26.01,72,60.1,32.3,4.36
marsaxlokk,0,MT,1586137361,55.99,87,35.84,14.54,3.36
khambhat,0,IN,1586137362,73.4,60,22.3,72.62,5.82
zhanaozen,99,KZ,1586137363,54.23,51,43.3,52.8,6.44
paamiut,100,GL,1586137365,23.92,89,61.99,-49.67,8.72
fukue,20,JP,1586137366,57.2,41,32.69,128.84,5.82
lashio,47,MM,1586137369,83.48,18,22.93,97.75,0.92
agua verde,40,MX,1586137370,80.6,42,22.9,-106.05,6.93
khuzhir,0,RU,1586137371,31.17,74,53.19,107.34,10.09
tucurui,100,BR,1586137372,75.74,94,-3.77,-49.67,2.8
aykhal,92,RU,1586137374,32.0,82,66.0,111.5,8.95
yeniseysk,0,RU,1586137375,37.58,72,58.45,92.17,12.82
quilmana,23,PE,1586137376,72.52,71,-12.95,-76.38,4.03
lebu,0,CL,1586137377,51.55,83,-37.62,-73.65,9.55
san cristobal,98,VE,1586137379,70.0,60,7.77,-72.22,0.98
angoche,8,MZ,1586137381,72.93,87,-16.23,39.91,4.16
smila,0,UA,1586137382,36.23,76,49.22,31.89,5.03
gao,0,ML,1586137384,80.26,12,16.64,1.64,10.67
kaliganj,0,BD,1586137385,89.74,14,23.41,89.14,2.57
buala,78,SB,1586137386,85.93,72,-8.14,159.59,11.43
jawhar,12,SO,1586137387,77.32,78,2.78,45.5,5.99
port keats,41,AU,1586137250,88.65,60,-14.25,129.55,5.46
djambala,100,CG,1586137390,70.21,79,-2.54,14.75,3.71
lago da pedra,100,BR,1586137391,75.27,96,-4.33,-45.17,2.53
mawlaik,0,MM,1586137392,94.68,18,23.63,94.42,4.59
kenai,1,US,1586137394,39.0,59,60.55,-151.26,17.22
komsomolskiy,2,UZ,1586137395,57.2,71,40.43,71.72,4.7
hervey bay,40,AU,1586137396,84.0,47,-25.3,152.85,6.93
alta floresta,67,BR,1586137397,76.21,81,-9.88,-56.09,1.95
binghamton,75,US,1586137239,51.01,75,42.1,-75.92,8.05
mujiayingzi,2,CN,1586137400,56.7,24,42.12,118.78,8.97
kirakira,99,SB,1586137401,87.82,67,-10.45,161.92,7.54
